# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
        95       47.500       233.39      0.05764992  -1313.10892612  -1313.05127619
        96       48.000       335.75      0.08293379  -1313.10970896  -1313.02677517
        97       48.500       347.78      0.08590680  -1313.10876462  -1313.02285782
        98       49.000       311.84      0.07702737  -1313.10693515  -1313.02990778
        99       49.500       277.14      0.06845728  -1313.10773552  -1313.03927824
       100       50.000       361.12      0.08920117  -1313.10836987  -1313.01916870
       101       50.500       323.50      0.07990733  -1313.10789523  -1313.02798790
       102       51.000       263.16      0.06500437  -1313.10735358  -1313.04234921
       103       51.500       278.78      0.06886133  -1313.10600303  -1313.03714170
       104       52.000       305.76      0.07552653  -1313.10780516  -1313.03227863
       105       52.500       371.35      0.09172675  -1313.10954475  -1313.01781800
       106       53.000       299.17      0.07389782  -1313.10969429  -1313.03579647
       107       53.500       289.05      0.07139882  -1313.10948075  -1313.03808193
       108       54.000       360.81      0.08912469  -1313.10906951  -1313.01994482
       109       54.500       328.14      0.08105441  -1313.10966778  -1313.02861337
       110       55.000       299.12      0.07388587  -1313.10995963  -1313.03607376
       111       55.500       332.31      0.08208503  -1313.11039765  -1313.02831262
       112       56.000       305.09      0.07536171  -1313.11026871  -1313.03490700
       113       56.500       311.66      0.07698449  -1313.10964251  -1313.03265802
       114       57.000       337.87      0.08345863  -1313.10846931  -1313.02501068
       115       57.500       260.21      0.06427459  -1313.10707702  -1313.04280243
       116       58.000       291.60      0.07202807  -1313.10845251  -1313.03642444
       117       58.500       264.78      0.06540422  -1313.10989204  -1313.04448783
       118       59.000       327.84      0.08098109  -1313.11004604  -1313.02906495
       119       59.500       304.10      0.07511500  -1313.10837292  -1313.03325792
       120       60.000       317.23      0.07835841  -1313.10703288  -1313.02867447
       121       60.500       312.55      0.07720458  -1313.10791564  -1313.03071107
       122       61.000       303.80      0.07504241  -1313.10990242  -1313.03486001
       123       61.500       326.82      0.08072735  -1313.11004576  -1313.02931841
       124       62.000       288.09      0.07116142  -1313.10963210  -1313.03847068
       125       62.500       354.77      0.08763202  -1313.10953092  -1313.02189890
       126       63.000       300.63      0.07426011  -1313.10961714  -1313.03535702
       127       63.500       272.36      0.06727568  -1313.11021659  -1313.04294092
       128       64.000       306.37      0.07567605  -1313.10991417  -1313.03423812
       129       64.500       365.91      0.09038500  -1313.10990929  -1313.01952429
       130       65.000       329.30      0.08134087  -1313.11093276  -1313.02959189
       131       65.500       252.07      0.06226346  -1313.11076643  -1313.04850296
       132       66.000       320.32      0.07912332  -1313.10960070  -1313.03047738
       133       66.500       351.27      0.08676788  -1313.10937515  -1313.02260728
       134       67.000       301.05      0.07436350  -1313.10909606  -1313.03473256
       135       67.500       290.75      0.07181842  -1313.10756200  -1313.03574358
       136       68.000       318.00      0.07854921  -1313.10719280  -1313.02864359
       137       68.500       343.79      0.08492100  -1313.10826527  -1313.02334427
       138       69.000       374.94      0.09261349  -1313.10914029  -1313.01652679
       139       69.500       330.12      0.08154457  -1313.10888185  -1313.02733728
