# MD Simulation - NVE Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       101       10.100       132.61      0.01826742   -779.13713898   -779.11887156
       102       10.200       132.28      0.01822295   -779.13712640   -779.11890344
       103       10.300       133.10      0.01833486   -779.13715777   -779.11882291
       104       10.400       135.05      0.01860387   -779.13723318   -779.11862931
       105       10.500       138.09      0.01902316   -779.13735085   -779.11832769
       106       10.600       142.12      0.01957841   -779.13750671   -779.11792830
       107       10.700       146.99      0.02024826   -779.13769477   -779.11744651
       108       10.800       152.48      0.02100514   -779.13790735   -779.11690220
       109       10.900       158.37      0.02181639   -779.13813512   -779.11631874
       110       11.000       164.39      0.02264567   -779.13836804   -779.11572236
       111       11.100       170.26      0.02345469   -779.13859527   -779.11514059
       112       11.200       175.71      0.02420500   -779.13880602   -779.11460102
       113       11.300       180.46      0.02486006   -779.13899007   -779.11413001
       114       11.400       184.29      0.02538724   -779.13913819   -779.11375095
       115       11.500       187.00      0.02575982   -779.13924288   -779.11348306
       116       11.600       188.44      0.02595885   -779.13929881   -779.11333996
       117       11.700       188.56      0.02597476   -779.13930325   -779.11332849
       118       11.800       187.35      0.02580848   -779.13925651   -779.11344803
       119       11.900       184.91      0.02547214   -779.13916191   -779.11368977
       120       12.000       181.40      0.02498905   -779.13902606   -779.11403701
       121       12.100       177.07      0.02439297   -779.13885839   -779.11446542
       122       12.200       172.24      0.02372657   -779.13867096   -779.11494439
       123       12.300       167.25      0.02303917   -779.13847757   -779.11543840
       124       12.400       162.49      0.02238369   -779.13829307   -779.11590938
       125       12.500       158.35      0.02181315   -779.13813243   -779.11631928
       126       12.600       155.18      0.02137674   -779.13800949   -779.11663275
       127       12.700       153.29      0.02111604   -779.13793594   -779.11681991
       128       12.800       152.89      0.02106154   -779.13792038   -779.11685884
       129       12.900       154.11      0.02122991   -779.13796749   -779.11673758
       130       13.000       156.96      0.02162223   -779.13807764   -779.11645541
       131       13.100       161.32      0.02222352   -779.13824656   -779.11602304
       132       13.200       166.99      0.02300359   -779.13846579   -779.11546220
       133       13.300       173.63      0.02391905   -779.13872304   -779.11480398
       134       13.400       180.87      0.02491647   -779.13900341   -779.11408694
       135       13.500       188.28      0.02593622   -779.13929006   -779.11335384
       136       13.600       195.39      0.02691669   -779.13956562   -779.11264894
       137       13.700       201.79      0.02779845   -779.13981352   -779.11201507
       138       13.800       207.09      0.02852816   -779.14001860   -779.11149044
       139       13.900       210.96      0.02906168   -779.14016855   -779.11110687
       140       14.000       213.18      0.02936648   -779.14025418   -779.11088770
       141       14.100       213.59      0.02942302   -779.14027008   -779.11084706
       142       14.200       212.15      0.02922532   -779.14021458   -779.11098926
       143       14.300       208.92      0.02878065   -779.14008972   -779.11130906
       144       14.400       204.05      0.02810853   -779.13990096   -779.11179243
       145       14.500       197.73      0.02723915   -779.13965681   -779.11241766
       146       14.600       190.27      0.02621149   -779.13936821   -779.11315673
       147       14.700       182.00      0.02507101   -779.13904796   -779.11397695
       148       14.800       173.26      0.02386735   -779.13870998   -779.11484264
       149       14.900       164.43      0.02265193   -779.13836876   -779.11571684
       150       15.000       155.90      0.02147562   -779.13803847   -779.11656286
       151       15.100       147.99      0.02038653   -779.13773273   -779.11734621
       152       15.200       141.03      0.01942801   -779.13746367   -779.11803566
       153       15.300       135.29      0.01863686   -779.13724160   -779.11860475
       154       15.400       130.97      0.01804183   -779.13707466   -779.11903283
       155       15.500       128.22      0.01766247   -779.13696824   -779.11930577
       156       15.600       127.10      0.01750832   -779.13692506   -779.11941674
       157       15.700       127.61      0.01757850   -779.13694494   -779.11936644
       158       15.800       129.66      0.01786178   -779.13702461   -779.11916283
       159       15.900       133.11      0.01833707   -779.13715826   -779.11882119
       160       16.000       137.74      0.01897440   -779.13733740   -779.11836300
       161       16.100       143.27      0.01973633   -779.13755152   -779.11781519
       162       16.200       149.39      0.02057985   -779.13778855   -779.11720871
       163       16.300       155.77      0.02145855   -779.13803548   -779.11657693
       164       16.400       162.06      0.02232518   -779.13827895   -779.11595377
       165       16.500       167.94      0.02313430   -779.13850631   -779.11537201
       166       16.600       173.10      0.02384496   -779.13870592   -779.11486096
       167       16.700       177.29      0.02442323   -779.13886833   -779.11444510
       168       16.800       180.35      0.02484437   -779.13898648   -779.11414212
       169       16.900       182.17      0.02509445   -779.13905660   -779.11396215
       170       17.000       182.72      0.02517138   -779.13907797   -779.11390659
       171       17.100       182.10      0.02508495   -779.13905341   -779.11396846
       172       17.200       180.44      0.02485612   -779.13898884   -779.11413272
       173       17.300       177.96      0.02451543   -779.13889279   -779.11437737
       174       17.400       174.95      0.02410064   -779.13877586   -779.11467522
       175       17.500       171.71      0.02365386   -779.13865003   -779.11499618
       176       17.600       168.55      0.02321830   -779.13852730   -779.11530900
       177       17.700       165.76      0.02283515   -779.13841944   -779.11558429
       178       17.800       163.63      0.02254069   -779.13833647   -779.11579578
       179       17.900       162.34      0.02236391   -779.13828652   -779.11592261
       180       18.000       162.06      0.02232487   -779.13827546   -779.11595059
       181       18.100       162.85      0.02243385   -779.13830593   -779.11587208
       182       18.200       164.72      0.02269117   -779.13837818   -779.11568701
       183       18.300       167.60      0.02308778   -779.13848956   -779.11540178
       184       18.400       171.36      0.02360639   -779.13863517   -779.11502878
       185       18.500       175.84      0.02422299   -779.13880837   -779.11458538
       186       18.600       180.82      0.02490858   -779.13900089   -779.11409231
       187       18.700       186.06      0.02563110   -779.13920379   -779.11357269
       188       18.800       191.33      0.02635724   -779.13940771   -779.11305047
       189       18.900       196.39      0.02705422   -779.13960340   -779.11254918
       190       19.000       201.02      0.02769136   -779.13978229   -779.11209094
       191       19.100       205.01      0.02824143   -779.13993675   -779.11169532
       192       19.200       208.21      0.02868173   -779.14006028   -779.11137855
       193       19.300       210.48      0.02899484   -779.14014817   -779.11115333
       194       19.400       211.74      0.02916915   -779.14019706   -779.11102792
       195       19.500       211.96      0.02919906   -779.14020541   -779.11100636
       196       19.600       211.13      0.02908494   -779.14017331   -779.11108838
