
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.250 fs
Total steps:     4000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: agnve.out -> #agnve.out.1#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step     8600     2150.00 fs  T  413.52 K  E    -779.080081 Ha
  Step     8700     2175.00 fs  T  410.63 K  E    -779.080370 Ha
  Step     8800     2200.00 fs  T  377.94 K  E    -779.083618 Ha
  Step     8900     2225.00 fs  T  279.67 K  E    -779.093353 Ha
  Step     9000     2250.00 fs  T  387.56 K  E    -779.082661 Ha
  Step     9100     2275.00 fs  T  476.50 K  E    -779.073851 Ha
  Step     9200     2300.00 fs  T  436.01 K  E    -779.077857 Ha
  Step     9300     2325.00 fs  T  445.61 K  E    -779.076914 Ha
  Step     9400     2350.00 fs  T  444.34 K  E    -779.077044 Ha
  Step     9500     2375.00 fs  T  430.76 K  E    -779.078375 Ha
  Step     9600     2400.00 fs  T  331.62 K  E    -779.088204 Ha
  Step     9700     2425.00 fs  T  446.69 K  E    -779.076805 Ha
  Step     9800     2450.00 fs  T  372.39 K  E    -779.084164 Ha
  Step     9900     2475.00 fs  T  377.60 K  E    -779.083656 Ha
  Step    10000     2500.00 fs  T  394.18 K  E    -779.082031 Ha
  Step    10100     2525.00 fs  T  359.00 K  E    -779.085507 Ha
  Step    10200     2550.00 fs  T  390.27 K  E    -779.082396 Ha
  Step    10300     2575.00 fs  T  406.23 K  E    -779.080821 Ha
  Step    10400     2600.00 fs  T  439.34 K  E    -779.077534 Ha
  Step    10500     2625.00 fs  T  372.39 K  E    -779.084162 Ha
  Step    10600     2650.00 fs  T  316.84 K  E    -779.089684 Ha
  Step    10700     2675.00 fs  T  300.18 K  E    -779.091339 Ha
  Step    10800     2700.00 fs  T  392.94 K  E    -779.082134 Ha
  Step    10900     2725.00 fs  T  373.41 K  E    -779.084067 Ha
  Step    11000     2750.00 fs  T  412.32 K  E    -779.080202 Ha
  Step    11100     2775.00 fs  T  354.19 K  E    -779.085951 Ha
  Step    11200     2800.00 fs  T  378.70 K  E    -779.083531 Ha
  Step    11300     2825.00 fs  T  435.71 K  E    -779.077883 Ha
  Step    11400     2850.00 fs  T  418.62 K  E    -779.079577 Ha
  Step    11500     2875.00 fs  T  356.26 K  E    -779.085766 Ha
  Step    11600     2900.00 fs  T  364.03 K  E    -779.085002 Ha
  Step    11700     2925.00 fs  T  352.06 K  E    -779.086183 Ha
  Step    11800     2950.00 fs  T  382.57 K  E    -779.083159 Ha
  Step    11900     2975.00 fs  T  359.12 K  E    -779.085490 Ha
  Step    12000     3000.00 fs  T  401.84 K  E    -779.081259 Ha
  Step    12100     3025.00 fs  T  450.76 K  E    -779.076406 Ha
  Step    12200     3050.00 fs  T  375.69 K  E    -779.083863 Ha
  Step    12300     3075.00 fs  T  402.22 K  E    -779.081221 Ha
  Step    12400     3100.00 fs  T  427.43 K  E    -779.078714 Ha
  Step    12500     3125.00 fs  T  397.47 K  E    -779.081695 Ha
  Step    12600     3150.00 fs  T  365.34 K  E    -779.084870 Ha
  Step    12700     3175.00 fs  T  316.51 K  E    -779.089706 Ha
  Step    12800     3200.00 fs  T  434.87 K  E    -779.077978 Ha
  Step    12900     3225.00 fs  T  415.04 K  E    -779.079939 Ha
  Step    13000     3250.00 fs  T  502.30 K  E    -779.071294 Ha
  Step    13100     3275.00 fs  T  428.68 K  E    -779.078607 Ha
  Step    13200     3300.00 fs  T  409.41 K  E    -779.080511 Ha
  Step    13300     3325.00 fs  T  385.16 K  E    -779.082911 Ha
  Step    13400     3350.00 fs  T  399.00 K  E    -779.081550 Ha
  Step    13500     3375.00 fs  T  435.95 K  E    -779.077869 Ha
  Step    13600     3400.00 fs  T  354.33 K  E    -779.085945 Ha
  Step    13700     3425.00 fs  T  348.81 K  E    -779.086501 Ha
  Step    13800     3450.00 fs  T  430.20 K  E    -779.078439 Ha
