# MD Simulation - NVT Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       101       25.250       364.73      0.05024394   -779.13772820   -779.08748425
       102       25.500       346.05      0.04767090   -779.13775632   -779.09008542
       103       25.750       308.42      0.04248681   -779.13746423   -779.09497742
       104       26.000       267.77      0.03688697   -779.13718549   -779.10029852
       105       26.250       298.97      0.04118521   -779.13684758   -779.09566237
       106       26.500       278.65      0.03838577   -779.13690240   -779.09851663
       107       26.750       277.04      0.03816429   -779.13691704   -779.09875275
       108       27.000       313.88      0.04323935   -779.13689754   -779.09365819
       109       27.250       235.26      0.03240886   -779.13682156   -779.10441269
       110       27.500       250.04      0.03444503   -779.13688187   -779.10243684
       111       27.750       252.79      0.03482344   -779.13729370   -779.10247026
       112       28.000       235.77      0.03247867   -779.13743758   -779.10495891
       113       28.250       300.42      0.04138456   -779.13743988   -779.09605533
       114       28.500       270.73      0.03729497   -779.13710292   -779.09980795
       115       28.750       310.18      0.04272953   -779.13706237   -779.09433283
       116       29.000       362.60      0.04995012   -779.13672998   -779.08677986
       117       29.250       272.42      0.03752784   -779.13668457   -779.09915672
       118       29.500       267.30      0.03682262   -779.13658830   -779.09976569
       119       29.750       282.20      0.03887507   -779.13687482   -779.09799975
       120       30.000       372.29      0.05128586   -779.13713757   -779.08585170
       121       30.250       285.50      0.03932947   -779.13705817   -779.09772870
       122       30.500       298.46      0.04111422   -779.13693802   -779.09582380
       123       30.750       237.96      0.03277986   -779.13643851   -779.10365866
       124       31.000       222.98      0.03071676   -779.13650601   -779.10578926
       125       31.250       371.50      0.05117598   -779.13647986   -779.08530388
       126       31.500       379.87      0.05232921   -779.13678240   -779.08445320
       127       31.750       492.08      0.06778745   -779.13710839   -779.06932094
       128       32.000       406.92      0.05605573   -779.13689110   -779.08083537
       129       32.250       368.38      0.05074603   -779.13617683   -779.08543080
       130       32.500       290.99      0.04008557   -779.13572782   -779.09564224
       131       32.750       318.35      0.04385425   -779.13567157   -779.09181733
       132       33.000       267.35      0.03682981   -779.13575490   -779.09892509
       133       33.250       307.36      0.04234129   -779.13616261   -779.09382132
       134       33.500       319.71      0.04404245   -779.13649592   -779.09245347
       135       33.750       175.25      0.02414148   -779.13640826   -779.11226678
       136       34.000       348.13      0.04795654   -779.13660478   -779.08864825
       137       34.250       270.02      0.03719729   -779.13660608   -779.09940879
       138       34.500       293.60      0.04044590   -779.13652016   -779.09607426
       139       34.750       327.49      0.04511448   -779.13640941   -779.09129493
       140       35.000       405.10      0.05580460   -779.13627137   -779.08046678
       141       35.250       277.27      0.03819596   -779.13598127   -779.09778531
       142       35.500       256.31      0.03530846   -779.13581225   -779.10050379
       143       35.750       264.01      0.03636932   -779.13590478   -779.09953547
       144       36.000       199.88      0.02753447   -779.13607693   -779.10854247
       145       36.250       262.62      0.03617803   -779.13648144   -779.10030341
       146       36.500       239.04      0.03292902   -779.13697930   -779.10405027
       147       36.750       269.73      0.03715713   -779.13694442   -779.09978729
       148       37.000       281.45      0.03877094   -779.13677387   -779.09800293
       149       37.250       289.02      0.03981440   -779.13628431   -779.09646991
       150       37.500       284.05      0.03912926   -779.13561169   -779.09648243
       151       37.750       285.14      0.03928017   -779.13503534   -779.09575517
       152       38.000       356.14      0.04906077   -779.13524172   -779.08618095
       153       38.250       393.32      0.05418167   -779.13586961   -779.08168795
       154       38.500       315.66      0.04348449   -779.13627400   -779.09278952
       155       38.750       333.48      0.04593869   -779.13643766   -779.09049898
       156       39.000       299.07      0.04119935   -779.13654134   -779.09534199
       157       39.250       271.07      0.03734110   -779.13659516   -779.09925406
       158       39.500       363.79      0.05011368   -779.13661116   -779.08649749
       159       39.750       286.04      0.03940385   -779.13644198   -779.09703814
       160       40.000       270.97      0.03732824   -779.13656778   -779.09923954
       161       40.250       208.24      0.02868634   -779.13687228   -779.10818594
       162       40.500       265.95      0.03663669   -779.13692602   -779.10028933
       163       40.750       292.97      0.04035800   -779.13704235   -779.09668436
       164       41.000       204.66      0.02819355   -779.13687277   -779.10867922
       165       41.250       259.46      0.03574221   -779.13677924   -779.10103703
       166       41.500       252.60      0.03479668   -779.13701011   -779.10221343
       167       41.750       258.38      0.03559387   -779.13710912   -779.10151525
       168       42.000       264.34      0.03641397   -779.13719881   -779.10078484
       169       42.250       208.49      0.02872136   -779.13717758   -779.10845622
       170       42.500       217.74      0.02999494   -779.13713851   -779.10714357
       171       42.750       338.36      0.04661071   -779.13700074   -779.09039002
       172       43.000       297.90      0.04103727   -779.13700737   -779.09597010
       173       43.250       304.22      0.04190809   -779.13678081   -779.09487271
