# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       101       25.250       322.98      0.04449211   -779.13356255   -779.08907044
       102       25.500       323.68      0.04458911   -779.13359211   -779.08900300
       103       25.750       321.74      0.04432129   -779.13351602   -779.08919474
       104       26.000       317.49      0.04373582   -779.13334847   -779.08961265
       105       26.250       312.27      0.04301741   -779.13314306   -779.09012565
       106       26.500       307.75      0.04239492   -779.13296547   -779.09057056
       107       26.750       305.25      0.04204953   -779.13286751   -779.09081798
       108       27.000       305.31      0.04205790   -779.13287067   -779.09081277
       109       27.250       307.68      0.04238489   -779.13296444   -779.09057955
       110       27.500       311.54      0.04291703   -779.13311610   -779.09019907
       111       27.750       315.88      0.04351415   -779.13328556   -779.08977141
       112       28.000       319.84      0.04406063   -779.13343957   -779.08937894
       113       28.250       323.08      0.04450670   -779.13356397   -779.08905727
       114       28.500       325.85      0.04488786   -779.13366890   -779.08878104
       115       28.750       328.85      0.04530091   -779.13378293   -779.08848202
       116       29.000       332.67      0.04582749   -779.13393072   -779.08810323
       117       29.250       337.14      0.04644264   -779.13410592   -779.08766328
       118       29.500       341.06      0.04698291   -779.13426149   -779.08727857
       119       29.750       342.75      0.04721565   -779.13432973   -779.08711409
       120       30.000       340.92      0.04696446   -779.13425966   -779.08729520
       121       30.250       335.37      0.04619981   -779.13404304   -779.08784323
       122       30.500       326.99      0.04504473   -779.13371551   -779.08867078
       123       30.750       317.37      0.04371986   -779.13334003   -779.08962017
       124       31.000       308.36      0.04247791   -779.13298822   -779.09051030
       125       31.250       301.62      0.04154962   -779.13272538   -779.09117577
       126       31.500       298.30      0.04109250   -779.13259677   -779.09150427
       127       31.750       298.62      0.04113642   -779.13261139   -779.09147497
       128       32.000       301.59      0.04154557   -779.13273128   -779.09118571
       129       32.250       305.13      0.04203353   -779.13287451   -779.09084098
       130       32.500       306.74      0.04225508   -779.13294160   -779.09068652
       131       32.750       304.59      0.04195903   -779.13285925   -779.09090022
